primary_key,industry_id,name,experience,work_environment,apprenticeship,education,age,gender,travel,start_avg_wage_per_week,end_avg_wage_per_week,low_hours_of_work,job_score,high_hours_of_work,days_of_week,job_openings,job_description
1,1,Fishermen,semiskilled,weathered,false,uneducated,adult,male,often,$12.00,$20.00,12,62,18,Everyday,9,"A commercial fisherman, also known as a fisher, uses equipment like nets, fishing rods, and traps, to catch fish and other marine life that will be consumed by humans or used as animal feed or bait. Some work as members of large crews on big boats in deep water. Other fishermen work in shallow water on small boats with a very small crew"
2,1,Cabinetmakers,kindred,unweathered,true,uneducated,adult,male,home,$13.50,$17.00,12,72,18,Everyday,2,"specialized trade making high quality furniture. Popular items included tables, chairs, and desks. "
3,1,Glassworkers,kindred,unweathered,true,uneducated,adult,male,home,$5.50,$9.00,9,80,10,Mon-Sat,5,would remove a finished piece of hot glassware from the end of the gaffer's blow iron by cracking it off
4,3,Hucksters,semiskilled,weathered,false,uneducated,adult,male,often,$5.00,$20.00,12,70,18,Everyday,8,"a person who sells small items, either door-to-door or from a stall or small store."
5,3,Hostlers,laborer,weathered,false,uneducated,adult,male,home,$2.50,$4.00,10,80,12,Everyday,25,a man employed to look after the horses of people staying at an inn.
6,3,Teamsters,laborer,weathered,false,uneducated,adult,male,home,$7.50,$10.00,12,80,18,Everyday,32,"a person who drives a team of horses, especially in hauling freight., modern day truck driver."
7,4,Pick miner,semiskilled,weathered,true,uneducated,adult,male,home,$7.50,$11.50,10,75,12,Mon-Sat,7," Loosens coal with picks, drills, and explosives, then loads it onto cars. Paid by the carload of coal. (When we think of coalminer we usually picture a pick miner.) "
8,4,Bookbinders,semiskilled,unweathered,true,uneducated,adult,both,home,$7.50,$11.50,10,72,12,Everyday,3,"Attach endpapers to tops and bottoms of book bodies, using sewing machines, or glue endpapers and signatures together along spines, using brushes or glue machines."
9,1,Overseer,skilled,mixed,false,uneducated,adult,male,home,$15.00,$19.50,12,85,18,Everyday,0,"Worker in charge of another group of workers in a factory, mine, rail yard,  construction site or plantation."
10,6,Teacher,professional,unweathered,false,highschool,adult,male,home,$30.50,$65.90,9,14,10,Mon-Fri,1,"Teachers create lesson plans and teach those plans to the entire class, individually to students or in small groups, track student progress and present the information to parents, create tests, create and reinforce classroom rules,"
11,6,Teacher,professional,unweathered,false,highschool,adult,female,home,$28.60,$53.73,9,14,10,Mon-Fri,0,"Teachers create lesson plans and teach those plans to the entire class, individually to students or in small groups, track student progress and present the information to parents, create tests, create and reinforce classroom rules,"
12,6,Civil Engineer,professional,mixed,false,highschool,adult,male,often,$4.00,$8.00,9,15,10,Everyday,4,"An engineer whose training or occupation is in the designing and construction of public or private works, such as railroads."
13,4,Surveyor,skilled,unweathered,false,highschool,adult,male,often,$12.00,$20.00,10,73,12,Mon-Sat,2,"One who applies geometry and trigonometry to determine the area of any portion of the earth's surface, the lengths and directions of the bounding lines, and the contour of the surface, and accurately delineates the whole on paper."
14,6,Draftsmen,semiskilled,unweathered,false,uneducated,adult,male,occassion,$12.00,$20.00,10,77,12,Mon-Sat,5,"is a person who makes detailed technical drawings or plans for machinery, buildings, electronics, infrastructure, sections, etc. "
15,6,Professional Showmen,professional,unweathered,false,uneducated,adult,male,often,$12.00,$20.00,10,14,12,Mon-Sat,1,"A person who produces or presents shows as a profession, skilled at entertaining, theatrical presentation or performance."
16,2,Soldiers,laborer,weathered,false,uneducated,adult,male,often,$6.00,$8.00,10,79,12,Mon-Sat,15,A person who serves in the army
17,2,Boarding/lodging house keepers,professional,unweathered,false,uneducated,adult,both,home,$4.00,$8.00,10,16,12,Mon-Sat,1,"Owners of managers of lodging/boarding houses. A lodging/boarding house held persons being strangers to one another, that is, not being of the same family, and promiscuously brought together, are allowed to occupy the same room’"
18,2,Launders/laundresses,semiskilled,unweathered,false,uneducated,adult,both,home,$4.00,$8.00,10,65,12,Mon-Sat,4,responsible for washing clothes
